"№ п/п, № Отчета","Наименование объекта","Адрес объекта","Цель испытаний","Дата выполнения работ","Исполнители работ","Наименование заказчика",Электроустановка,"Среднее время заполнения линии (минуты)","Количество щитов","Наличие цепи: кол-во точек","Сопротивление изоляции: кол-во линий","Фаза-нуль: количество линий","УЗО: Количество УЗО","Автоматы: Количество Автоматов","Заземлителей: Кол-во ЗУ","Молниезащита: Кол-во МЗ","Затраченное время общее (минуты)","Затраченное время Планшетное (минуты)","Затраченное время Вебверсия (минуты)","Затраченное эффективное время общее (минуты)","Затраченное эффективное время Планшетное (минуты)","Затраченное эффективное время Вебверсия (минуты)","Среднее время межу щитами общее (минуты)","Среднее время межу щитами Планшетное (минуты)","Среднее время межу щитами Вебверсия (минуты)","Время старта","Время окончания",Инженер
20.07.21-3.3,"Дом медалей","г. Москва,  поселение Рязановское,  с. Остафьево, ул. Троицкая, д 1А",Эксплуатационные,2021-07-20,"Алексей Рязанов, Доплер Антон, Игорь Еселевский","Федеральное государственное бюджетное учреждение культуры «Государственный музей-усадьба «Остафьево»-«Русский Парнас»","Новая - Не удовлетворительно",0.82352941176471,1,3,3,3,-,-,-,-,65,59,6,14,8,6,12.75,12.75,-,"2021-07-20 09:37","2021-07-22 07:13","Доплер Антон"
20.07.21-3.4,Мастерская,"г. Москва,  поселение Рязановское,  с. Остафьево, ул. Троицкая, д 1А",Эксплуатационные,2021-07-20,"Алексей Рязанов, Доплер Антон, Игорь Еселевский","Федеральное государственное бюджетное учреждение культуры «Государственный музей-усадьба «Остафьево»-«Русский Парнас»","Новая - Не удовлетворительно",1,1,11,7,7,-,-,-,-,17,11,6,17,11,6,-,-,-,"2021-07-20 10:26","2021-07-22 07:14","Доплер Антон"
20.07.21-3.5,Гараж,"г. Москва,  поселение Рязановское,  с. Остафьево, ул. Троицкая, д 1А",Эксплуатационные,2021-07-20,"Алексей Рязанов, Доплер Антон, Игорь Еселевский","Федеральное государственное бюджетное учреждение культуры «Государственный музей-усадьба «Остафьево»-«Русский Парнас»","Новая - Не удовлетворительно",0.64705882352941,1,1,6,6,-,-,-,-,11,5,6,11,5,6,-,-,-,"2021-07-20 10:35","2021-07-22 07:15","Доплер Антон"
20.07.21-3.6,"Уличное освещение","г. Москва,  поселение Рязановское,  с. Остафьево, ул. Троицкая, д 1А",Эксплуатационные,2021-07-20,"Алексей Рязанов, Доплер Антон, Игорь Еселевский","Федеральное государственное бюджетное учреждение культуры «Государственный музей-усадьба «Остафьево»-«Русский Парнас»","Новая - Не удовлетворительно",0.70588235294118,1,4,3,3,-,-,-,-,12,6,6,12,6,6,-,-,-,"2021-07-20 10:56","2021-07-22 07:15","Доплер Антон"
20.07.21-3.7,"Лодочная станция","г. Москва,  поселение Рязановское,  с. Остафьево, ул. Троицкая, д 1А",Эксплуатационные,2021-07-20,"Алексей Рязанов, Доплер Антон, Игорь Еселевский","Федеральное государственное бюджетное учреждение культуры «Государственный музей-усадьба «Остафьево»-«Русский Парнас»","Новая - Не удовлетворительно",0.47058823529412,1,5,2,2,-,-,-,-,8,2,6,8,2,6,-,-,-,"2021-07-20 11:11","2021-07-22 07:16","Доплер Антон"
20.07.21-3.8,"Перепланировка парковочного помещения под строительные павильоны в ТЦ ""Бутово молл""","г. Москва, Чечёрский проезд, д.51",Приёмо-сдаточные,2021-07-20,"Алексей Рязанов, Доплер Антон, Игорь Еселевский","ИП Петросян Т. Г.","Новая - Удовлетворительно",0.79365079365079,5,72,51,51,1,63,-,-,78,78,-,50,50,-,1.2173913043478,1.2173913043478,-,"2021-07-20 12:10","2021-07-20 16:34","Доплер Антон"
20.07.21-3.8,"Перепланировка парковочного помещения под строительные павильоны в ТЦ ""Бутово молл""","г. Москва, Чечёрский проезд, д.51",Приёмо-сдаточные,2021-07-20,"Алексей Рязанов, Доплер Антон, Игорь Еселевский","ИП Петросян Т. Г.","Новая - Удовлетворительно",0.063492063492063,5,72,51,51,1,63,-,-,4,4,-,4,4,-,-,-,-,"2021-07-20 16:48","2021-07-20 16:50","Доплер Антон"
27.07.21-3.1,МКД,"г. Москва, Литовский бульвар, дом 34",Приёмо-сдаточные,2021-07-27,"Алексей Рязанов, Доплер Антон, Игорь Еселевский","ЖСК ""Родник""","Новая - Не удовлетворительно",0.4812030075188,9,41,82,83,-,96,-,-,64,64,-,64,64,-,-,-,-,"2021-07-27 13:10","2021-07-27 14:15","Доплер Антон"
03.08.21-3.1,"Отель в Петровском парке","г. Москва, Ленинградский проспект, дом 36, строение 33, этаж 5",Эксплуатационные,2021-08-03,"Рязанов А.В., Еселевский И.А., Доплер А.Э., Рязанов А.В., Доплер А.Э., Еселевский И.А., Рязанов А.В., Доплер А.Э., Еселевский И.А., Рязанов А.В., Доплер А.Э., Еселевский И.А., Рязанов А.В., Доплер А.Э., Еселевский И.А.","ООО «ОПП»","Новая - Удовлетворительно",0.13829301688727,148,1257,431,431,214,-,-,-,10176,405,9771,303,264,39,973.99661016949,0.79661016949153,973.2,"2021-07-28 07:16","2021-08-20 08:43","Доплер Антон"
04.08.21-3.1,"Отель в Петровском парке","г. Москва, Ленинградский проспект, дом 36, строение 33, этаж 6",Эксплуатационные,2021-08-04,"Рязанов А.В., Еселевский И.А., Доплер А.Э., Рязанов А.В., Доплер А.Э., Еселевский И.А.","ООО «ОПП»","Новая - Удовлетворительно",0.22281639928699,35,1255,431,431,214,-,-,-,10349,701,9648,125,101,24,1083.619047619,14.285714285714,1069.3333333333,"2021-08-04 07:17","2021-08-20 08:54","Доплер Антон"
04.08.21-3.2,"Отель в Петровском парке","г. Москва, Ленинградский проспект, дом 36, строение 33, этаж 13",Эксплуатационные,2021-08-04,"Рязанов А.В., Еселевский И.А., Доплер А.Э., Рязанов А.В., Доплер А.Э., Еселевский И.А.","ООО «ОПП»","Новая - Удовлетворительно",0.19607843137255,35,1016,347,347,172,-,-,-,11160,85,11075,110,85,25,1227.7777777778,-,1227.7777777778,"2021-08-04 10:33","2021-09-09 15:36","Доплер Антон"
05.08.21-3.1,"Отель в Петровском парке","г. Москва, Ленинградский проспект, дом 36, строение 33, этаж 7",Эксплуатационные,2021-08-05,"Рязанов А.В., Еселевский И.А., Доплер А.Э., Рязанов А.В., Доплер А.Э., Еселевский И.А.","ООО «ОПП»","Новая - Удовлетворительно",0.24420677361854,35,1255,431,431,214,-,-,-,4811,467,4344,137,111,26,486.02339181287,6.2456140350877,479.77777777778,"2021-08-05 08:13","2021-08-20 09:02","Доплер Антон"
06.08.21-3.1,"Отель в Петровском парке","г. Москва, Ленинградский проспект, дом 36, строение 33, этаж 8",Эксплуатационные,2021-08-05,"Рязанов А.В., Еселевский И.А., Доплер А.Э., Рязанов А.В., Доплер А.Э., Еселевский И.А.","ООО «ОПП»","Новая - Удовлетворительно",0.22816399286988,35,1255,431,431,214,-,-,-,13343,103,13240,128,103,25,1468.3333333333,-,1468.3333333333,"2021-08-06 07:11","2021-09-10 06:56","Доплер Антон"
06.08.21-3.2,"Отель в Петровском парке","г. Москва, Ленинградский проспект, дом 36, строение 33, этаж 9",Эксплуатационные,2021-08-05,"Рязанов А.В., Еселевский И.А., Доплер А.Э., Рязанов А.В., Доплер А.Э., Еселевский И.А.","ООО «ОПП»","Новая - Удовлетворительно",0.16934046345811,35,1255,431,431,214,-,-,-,7292,85,7207,95,85,10,3598.5,-,3598.5,"2021-08-06 08:38","2021-09-09 15:38","Доплер Антон"
"09.08.21-3.1 ","Отель в Петровском парке","г. Москва, Ленинградский проспект, дом 36, строение 33, этаж 10",Эксплуатационные,2021-08-09,"Рязанов А.В., Еселевский И.А., Доплер А.Э., Рязанов А.В., Доплер А.Э., Еселевский И.А.","ООО «ОПП»","Новая - Удовлетворительно",0.21847246891652,35,1166,400,400,199,-,-,-,10207,70,10137,123,70,53,630.25,-,630.25,"2021-08-09 08:40","2021-08-20 13:32","Доплер Антон"
10.08.21-3.1,"Отель в Петровском парке","г. Москва, Ленинградский проспект, дом 36, строение 33, этаж 12",Эксплуатационные,2021-08-10,"Рязанов А.В., Еселевский И.А., Доплер А.Э., Рязанов А.В., Доплер А.Э., Еселевский И.А.","ООО «ОПП»","Новая - Удовлетворительно",0.22517730496454,35,1125,390,390,195,-,-,-,11813,84,11729,127,84,43,834.71428571429,-,834.71428571429,"2021-08-10 08:20","2021-09-09 15:39","Доплер Антон"
11.08.21-3.1,"Отель в Петровском парке","г. Москва, Ленинградский проспект, дом 36, строение 33, этаж 11",Эксплуатационные,2021-08-11,"Рязанов А.В., Еселевский И.А., Доплер А.Э., , Рязанов А.В., Доплер А.Э., Еселевский И.А.","ООО «ОПП»","Новая - Удовлетворительно",0.18487394957983,37,1167,400,400,199,-,-,-,10408,94,10314,110,74,36,1028.1448275862,0.3448275862069,1027.8,"2021-08-11 07:52","2021-09-10 07:00","Доплер Антон"
13.08.21-3.1,"Спортивно-ледовый комплекс","Московская обл., г. Ивантеевка, ул. Победы, д. 2",Эксплуатационные,2021-08-13,"Алексей Рязанов, Доплер Антон, Игорь Еселевский","МУНИЦИПАЛЬНОЕ АВТОНОМНОЕ УЧРЕЖДЕНИЕ ГОРОДСКОГО ОКРУГА ИВАНТЕЕВКА МОСКОВСКОЙ ОБЛАСТИ ""СПОРТИВНАЯ ШКОЛА ""ЛИДЕР""","Новая - Удовлетворительно",-,1,-,-,-,-,-,1,1,92,92,-,19,19,-,10.428571428571,10.428571428571,-,"2021-08-13 10:52","2021-08-13 12:29","Доплер Антон"
18.08.21-3.1,"Жилой дом","МО, Мытищинский р-н, пос Вешки, ул. Лермонтова, 10а",Приёмо-сдаточные,2021-08-18,"Алексей Рязанов, Доплер Антон, Игорь Еселевский","Чурилов Н.Г.","Новая - Удовлетворительно",1.4649122807018,7,119,54,53,16,57,1,-,12033,836,11197,167,127,40,598.46449456976,11.253968253968,587.21052631579,"2021-08-18 07:00","2021-08-31 17:46","Доплер Антон"
18.08.21-3.2,"Нежилое помещение №2","г. Москва, пос. Сосенское, п. Коммунарка, ул. Александры Монаховой д.90 корп.5",Приёмо-сдаточные,2021-08-18,"Алексей Рязанов, Доплер Антон, Игорь Еселевский","ИП Гарибова И.В.","Новая - Удовлетворительно",0.43157894736842,6,70,18,18,8,21,-,-,411,411,-,41,41,-,20.555555555556,20.555555555556,-,"2021-08-18 10:25","2021-08-18 17:18","Доплер Антон"
23.08.21-3.1,"Объект ""Лианозово"" ","г. Москва, Дмитровское шоссе, д. 116.",Эксплуатационные,2021-08-23,"Алексей Рязанов, Доплер Антон, Игорь Еселевский, Рязанов А.В., Доплер А.Э., Еселевский И.А.","ФГУП ППП УДП РФ","Новая - Не удовлетворительно",1.2271023031602,201,4327,1428,1344,35,1728,5,-,22202,439,21763,2291,341,1950,15.423301131716,0.44748858447489,14.975812547241,"2021-08-23 07:11","2021-09-08 13:05","Доплер Антон"
30.08.21-3.1,"Лечебно-диагностический центр в Серпухове","Московская область, г. Серпухов, ул. Весенняя, д. 2",Эксплуатационные,2021-08-30,"Алексей Рязанов, Доплер Антон, Игорь Еселевский","ООО ""МЦК-3""","Новая - Удовлетворительно",0.77777777777778,8,134,50,44,-,-,-,-,500,500,-,70,70,-,10,10,-,"2021-08-30 06:43","2021-08-30 15:02","Доплер Антон"
04.09.21-3.1,"Офисные помещения","г. Москва, Волгоградский пр-кт, д. 45 стр. 1.",Эксплуатационные,2021-09-04,"Алексей Рязанов, Доплер Антон, Игорь Еселевский, Рязанов А.В., Доплер А.Э., Еселевский И.А.","ФГБУ ""РОСЛЕСИНФОРГ""","Новая - Удовлетворительно",0.90731707317073,22,1032,379,378,148,-,-,-,10727,622,10105,372,343,29,721.43650793651,1.7222222222222,719.71428571429,"2021-09-04 07:22","2021-09-12 13:49","Доплер Антон"
20.09.21-3.1,ПОЛИКЛИНИКА,"Московская обл, г Сергиев Посад, пр-кт Красной Армии, д 9/1",Эксплуатационные,2021-09-20,"Алексей Рязанов, Доплер Антон, Игорь Еселевский, Рязанов А.В., Доплер А.Э., Еселевский И.А.","ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ МОСКОВСКОЙ ОБЛАСТИ ""СЕРГИЕВО-ПОСАДСКАЯ СТОМАТОЛОГИЧЕСКАЯ ПОЛИКЛИНИКА""","Новая - Не удовлетворительно",1.452380952381,11,174,76,74,-,-,1,-,133,132,1,122,121,1,0.17460317460317,0.17460317460317,-,"2021-09-20 07:00","2021-09-21 03:56","Доплер Антон"
21.09.21-3.1,"«Спортивный комплекс «Звезда»","Московская область, г. Звенигород, ул. Московская, д.47",Эксплуатационные,2021-09-21,"Алексей Рязанов, Доплер Антон, Игорь Еселевский, Рязанов А.В., Доплер А.Э., Еселевский И.А.","Муниципальное Автономное Учреждение «Спортивный комплекс «Звезда»","Новая - Не удовлетворительно",1.1186440677966,26,236,164,163,36,-,1,1,320,320,-,198,198,-,1.1192660550459,1.1192660550459,-,"2021-09-21 08:14","2021-09-21 13:43","Доплер Антон"
11.10.21-3.1,"Фармацевтическое производство по выпуску готовых лекарственных средств","Московская область, Городской округ Лобня, г. Лобня, шоссе Краснополянское, дом 10. Энергомодуль.",Эксплуатационные,2021-10-11,"Рязанов А.В., Доплер А.Э., Еселевский И.А.","ООО «ФЕРОН»","Новая - Удовлетворительно",2.1091445427729,72,881,307,297,11,327,-,-,42133,285,41848,715,188,527,175.08505945531,0.73484848484848,174.35021097046,"2021-10-11 08:52","2021-11-10 10:46","Доплер Антон"
14.10.21-3.1,"Фармацевтическое производство по выпуску готовых лекарственных средств","Московская область, Городской округ Лобня, г. Лобня, шоссе Краснополянское, дом 10. АБК.",Эксплуатационные,2021-10-14,"Рязанов А.В., Доплер А.Э., Еселевский И.А.","ООО «ФЕРОН»","Новая - Удовлетворительно",0.43107221006565,75,598,122,122,51,136,-,-,20516,225,20291,197,174,23,2027.1984375,0.3984375,2026.8,"2021-10-14 10:46","2021-11-01 10:17","Доплер Антон"
12.10.21-3.1,"Фармацевтическое производство по выпуску готовых лекарственных средств","Московская область, Городской округ Лобня, г. Лобня, шоссе Краснополянское, дом 10. Заземляющие устройства, системы молниезащиты.",Эксплуатационные,2021-10-12,"Рязанов А.В., Доплер А.Э., Еселевский И.А.","ООО «ФЕРОН»","Новая - Удовлетворительно",0.22794117647059,18,-,-,-,-,-,7,6,31,26,5,31,26,5,-,-,-,"2021-10-15 08:17","2021-11-01 06:41","Доплер Антон"
15.10.21-3.1,"Фармацевтическое производство по выпуску готовых лекарственных средств","Московская область, Городской округ Лобня, г. Лобня, шоссе Краснополянское, дом 10. ЧПП.",Эксплуатационные,2021-10-15,"Рязанов А.В., Доплер А.Э., Еселевский И.А.","ООО «ФЕРОН»","Новая - Удовлетворительно",1.2237136465324,97,2400,379,379,92,428,-,-,33335,480,32855,547,244,303,189.83560857623,1.6737588652482,188.16184971098,"2021-10-15 08:28","2021-11-10 08:53","Доплер Антон"
22.10.21-3.1,"Фармацевтическое производство по выпуску готовых лекарственных средств","Московская область, Городской округ Лобня, г. Лобня, шоссе Краснополянское, дом 10. Насосная.",Эксплуатационные,2021-10-22,"Рязанов А.В., Доплер А.Э., Еселевский И.А.","ООО «ФЕРОН»","Новая - Удовлетворительно",0.475,29,109,32,31,1,32,-,-,156,150,6,76,70,6,1.4035087719298,1.4035087719298,-,"2021-10-22 07:58","2021-11-02 06:15","Доплер Антон"
22.10.21-3.2,"Фармацевтическое производство по выпуску готовых лекарственных средств","Московская область, Городской округ Лобня, г. Лобня, шоссе Краснополянское, дом 10. АБК склада.",Эксплуатационные,2021-10-22,"Рязанов А.В., Доплер А.Э., Еселевский И.А.","ООО «ФЕРОН»","Новая - Удовлетворительно",0.98347107438017,33,584,80,80,5,88,-,-,11445,108,11337,119,108,11,5663,-,5663,"2021-10-22 10:32","2021-11-02 06:16","Доплер Антон"
25.10.21-3.1,"Фармацевтическое производство по выпуску готовых лекарственных средств","Московская область, Городской округ Лобня, г. Лобня, шоссе Краснополянское, дом 10. Склад",Эксплуатационные,2021-10-25,"Рязанов А.В., Доплер А.Э., Еселевский И.А.","ООО «ФЕРОН»","Новая - Удовлетворительно",0.95953757225434,40,424,103,102,13,132,-,-,21874,284,21590,166,139,27,2697.0610465116,1.6860465116279,2695.375,"2021-10-25 11:13","2021-11-10 10:24","Доплер Антон"
26.10.21-3.1,"Фармацевтическое производство по выпуску готовых лекарственных средств","Московская область, Городской округ Лобня, г. Лобня, шоссе Краснополянское, дом 10. КПП.",Эксплуатационные,2021-10-26,"Рязанов А.В., Доплер А.Э., Еселевский И.А.","ООО «ФЕРОН»","Новая - Удовлетворительно",0.70689655172414,13,63,22,22,6,25,-,-,52,46,6,41,35,6,0.40740740740741,0.40740740740741,-,"2021-10-26 11:00","2021-11-02 06:17","Доплер Антон"
26.10.21-3.2,"Фармацевтическое производство по выпуску готовых лекарственных средств","Московская область, Городской округ Лобня, г. Лобня, шоссе Краснополянское, дом 10. ДГУ.",Эксплуатационные,2021-10-26,"Рязанов А.В., Доплер А.Э., Еселевский И.А.","ООО «ФЕРОН»","Новая - Удовлетворительно",0.75471698113208,11,30,27,27,1,28,-,-,40,34,6,40,34,6,-,-,-,"2021-10-26 11:52","2021-11-02 06:18","Доплер Антон"
26.10.21-3.3,"Фармацевтическое производство по выпуску готовых лекарственных средств","Московская область, Городской округ Лобня, г. Лобня, шоссе Краснополянское, дом 10. Спиртохранилище.",Эксплуатационные,2021-10-26,"Рязанов А.В., Доплер А.Э., Еселевский И.А.","ООО «ФЕРОН»","Новая - Удовлетворительно",0.69444444444444,9,24,7,7,1,8,-,-,36,30,6,25,19,6,0.78571428571429,0.78571428571429,-,"2021-10-27 08:11","2021-11-02 06:18","Доплер Антон"
27.10.21-3.1,"Фармацевтическое производство по выпуску готовых лекарственных средств","Московская область, Городской округ Лобня, г. Лобня, шоссе Краснополянское, дом 10. Гараж.",Эксплуатационные,2021-10-27,"Рязанов А.В., Доплер А.Э., Еселевский И.А.","ООО «ФЕРОН»","Новая - Удовлетворительно",2.1176470588235,5,36,12,12,2,17,-,-,36,30,6,36,30,6,-,-,-,"2021-10-27 08:23","2021-11-02 06:18","Доплер Антон"
27.10.21-3.2,"Фармацевтическое производство по выпуску готовых лекарственных средств","Московская область, Городской округ Лобня, г. Лобня, шоссе Краснополянское, дом 10. Контейнер охраны.",Эксплуатационные,2021-10-27,"Рязанов А.В., Доплер А.Э., Еселевский И.А.","ООО «ФЕРОН»","Новая - Удовлетворительно",0.94444444444444,5,20,6,6,1,7,-,-,11727,6,11721,17,6,11,5855,-,5855,"2021-10-27 08:45","2021-11-10 09:34","Доплер Антон"
27.10.21-3.3,"Фармацевтическое производство по выпуску готовых лекарственных средств","Московская область, Городской округ Лобня, г. Лобня, шоссе Краснополянское, дом 10. Контейнер садовника.",Эксплуатационные,2021-10-27,"Рязанов А.В., Доплер А.Э., Еселевский И.А.","ООО «ФЕРОН»","Новая - Удовлетворительно",1.8333333333333,2,6,5,5,1,6,-,-,11,5,6,11,5,6,-,-,-,"2021-10-27 08:50","2021-11-02 06:19","Доплер Антон"
28.10.21-3.1,"Фармацевтическое производство по выпуску готовых лекарственных средств","Московская область, Городской округ Лобня, г. Лобня, шоссе Краснополянское, дом 10. Ангар.",Эксплуатационные,2021-10-28,"Рязанов А.В., Доплер А.Э., Еселевский И.А.","ООО «ФЕРОН»","Новая - Удовлетворительно",0.85869565217391,16,158,72,71,13,82,-,-,79,73,6,79,73,6,-,-,-,"2021-10-28 09:57","2021-11-02 06:19","Доплер Антон"
29.10.21-3.1,"Реконструкция комплекса очистных сооружений канализации производительностью 5000 м3 /сут. с  увеличением производительности до 8500 м3 /сут. в мкрн. Пироговский","Московская  область, г/о Мытищи, мкрн. Пироговский, ул. Пролетарская, вл. 4В",Приёмо-сдаточные,2021-10-29,"Рязанов А.В., Доплер А.Э., Еселевский И.А.","ООО ""МОИК""","Новая - Удовлетворительно",4.5833333333333,5,-,10,10,-,-,5,-,507,49,458,55,21,34,28.052287581699,3.1111111111111,24.941176470588,"2021-10-29 11:40","2021-12-29 09:18","Доплер Антон"
08.11.21-3.1,"Здание №1","РФ, Московская область, городской округ Домодедово, село Домодедово, Высотная улица, 4",Приёмо-сдаточные,2021-11-08,"Рязанов А.В., Доплер А.Э., Еселевский И.А.","Муниципальное автономное общеобразовательное учреждение Домодедовская средняя общеобразовательная школа №12","Новая - Удовлетворительно",-,1,1,-,-,-,-,1,-,4,4,-,4,4,-,-,-,-,"2021-11-08 13:30","2021-11-08 14:20","Доплер Антон"
08.11.21-3.2,"Здание №2","РФ, Московская область, городской округ Домодедово, село Домодедово, Школьная улица, 21",Приёмо-сдаточные,2021-11-08,"Рязанов А.В., Доплер А.Э., Еселевский И.А.","Муниципальное автономное общеобразовательное учреждение Домодедовская средняя общеобразовательная школа №12","Новая - Удовлетворительно",-,1,1,-,-,-,-,1,-,1,1,-,1,1,-,-,-,-,"2021-11-08 14:22","2021-11-08 14:27","Доплер Антон"
08.11.21-3.3,"Здание №2","РФ, Московская область, городской округ Домодедово, деревня Павловское, Колхозная улица, 17",Приёмо-сдаточные,2021-11-08,"Рязанов А.В., Доплер А.Э., Еселевский И.А.","Муниципальное автономное общеобразовательное учреждение Домодедовская средняя общеобразовательная школа №12","Новая - Удовлетворительно",-,1,1,-,-,-,-,1,-,11,5,6,11,5,6,-,-,-,"2021-11-08 14:29","2021-11-12 08:22","Доплер Антон"
09.11.21-3.1,"Магазин парфюмерии и косметики ""Л'ЭТУАЛЬ""","г. Москва, Манежная площадь, д.1, стр.2, ТЦ «Охотный ряд»",Эксплуатационные,2021-11-09,"Рязанов А.В., Доплер А.Э., Еселевский И.А., Рязанов А.В., Доплер А.Э., Еселевский И.А.","ООО ""Алькор и Ко""","Новая - Не удовлетворительно",0.72164948453608,9,521,103,103,75,132,-,-,207,198,9,140,131,9,0.72826086956522,0.72826086956522,-,"2021-11-09 13:06","2021-11-11 10:06","Доплер Антон"
12.11.21-3.1,"Общеобразовательная школа","РФ, Московская область, г. Домодедово, мкр Центральный, ул. Советская, д.32",Приёмо-сдаточные,2021-11-12,"Рязанов А.В., Доплер А.Э., Еселевский И.А.","МАОУ Домодедовский лицей № 3 им. Героя Советского Союза Ю.П. Максимова","Новая - Удовлетворительно",-,1,1,-,-,-,-,1,-,92,92,-,14,14,-,19.5,19.5,-,"2021-11-12 09:54","2021-11-15 09:15","Доплер Антон"
12.11.21-3.2,"Общеобразовательная школа","РФ, Московская область, г. Домодедово, мкр Центральный, ул. Коломийца, д.4",Приёмо-сдаточные,2021-11-12,"Рязанов А.В., Доплер А.Э., Еселевский И.А.","МАОУ Домодедовский лицей № 3 им. Героя Советского Союза Ю.П. Максимова","Новая - Удовлетворительно",-,1,-,-,-,-,-,-,-,7,7,-,7,7,-,-,-,-,"2021-11-15 09:16","2021-11-15 09:59","Доплер Антон"
12.11.21-3.3,"Общеобразовательная школа","РФ, Московская область, г. Домодедово, пос. ГПЗ ""Константиново"", Домодедовское шоссе, стр. 4а",Приёмо-сдаточные,2021-11-12,"Рязанов А.В., Доплер А.Э., Еселевский И.А.","МАОУ Константиновская средняя общеобразовательная школа","Новая - Удовлетворительно",-,1,1,-,-,-,-,1,-,3,3,-,3,3,-,-,-,-,"2021-11-15 10:32","2021-11-15 10:52","Доплер Антон"
16.11.21-3.1,"Административное здание","г. Москва, 4-ый Вешняковский проезд 1к1",Эксплуатационные,2021-11-16,"Рязанов А.В., Доплер А.Э., Еселевский И.А.","ГБУ МДОО"," - Удовлетворительно",1.0446194225722,38,423,271,252,122,301,1,-,3411,495,2916,398,351,47,111.11211129296,0.76595744680851,110.34615384615,"2021-11-16 08:26","2021-11-19 12:38","Доплер Антон"
18.11.21-3.1,"Магазин-кафе «Моремания»","г. Москва, ул. Братиславская, д.28",Приёмо-сдаточные,2021-11-18,"Рязанов А.В., Доплер А.Э., Еселевский И.А.","ООО «СИБУРГ»","Новая - Удовлетворительно",1.4310344827586,5,163,71,71,61,85,-,-,263,263,-,166,166,-,1.3108108108108,1.3108108108108,-,"2021-11-18 06:50","2021-11-18 12:57","Доплер Антон"
22.11.21-3.1,"Бизнес центр"," г. Москва, Кадашевская наб., д.30",Эксплуатационные,2021-11-22,"Рязанов А.В., Доплер А.Э., Еселевский И.А.","ООО «СК АБСОЛЮТ»","Новая - Удовлетворительно",1.1274787535411,59,1012,592,591,34,703,1,0,7183,303,6880,796,276,520,20.26309148265,0.2,20.06309148265,"2021-11-22 06:45","2021-11-29 09:12","Доплер Антон"
01.12.21-3.1,"Скважина (ВЗУ)","Московская область, Сергиево-Посадский р-н, г.п. Хотьково, с. Абрамцево, ул. Музейная, д. 1. ",Эксплуатационные,2021-12-01,"Рязанов А.В., Доплер А.Э., Еселевский И.А.","Федеральное государственное бюджетное учреждение культуры «Государственный  историко-художественный и литературный Музей-заповедник «Абрамцево» ","Новая - Удовлетворительно",2.6666666666667,3,28,7,7,-,-,1,-,24,16,8,24,16,8,-,-,-,"2021-12-01 09:19","2021-12-10 11:40","Доплер Антон"
01.12.21-3.2,"Гончарная мастерская","Московская область, Сергиево-Посадский р-н, г.п. Хотьково, с. Абрамцево, ул. Музейная, д. 1. ",Эксплуатационные,2021-12-01,"Рязанов А.В., Доплер А.Э., Еселевский И.А.","Федеральное государственное бюджетное учреждение культуры «Государственный  историко-художественный и литературный Музей-заповедник «Абрамцево» ","Новая - Удовлетворительно",1.6206896551724,16,149,76,74,-,-,1,-,11926,165,11761,141,97,44,559.36904761905,1.4166666666667,557.95238095238,"2021-12-01 11:12","2021-12-10 11:43","Доплер Антон"
01.12.21-3.3,КНС,"Московская область, Сергиево-Посадский р-н, г.п. Хотьково, с. Абрамцево, ул. Музейная, д. 1. ",Эксплуатационные,2021-12-01,"Рязанов А.В., Доплер А.Э., Еселевский И.А.","Федеральное государственное бюджетное учреждение культуры «Государственный  историко-художественный и литературный Музей-заповедник «Абрамцево» ","Новая - Удовлетворительно",1,4,10,3,1,-,-,1,-,12,6,6,12,6,6,-,-,-,"2021-12-01 17:14","2021-12-10 11:44","Доплер Антон"
02.12.21-3.4,"Газовая топочная №4","Московская область, Сергиево-Посадский р-н, г.п. Хотьково, с. Абрамцево, ул. Музейная, д. 1. ",Эксплуатационные,2021-12-02,"Рязанов А.В., Доплер А.Э., Еселевский И.А.","Федеральное государственное бюджетное учреждение культуры «Государственный  историко-художественный и литературный Музей-заповедник «Абрамцево» ","Новая - Удовлетворительно",1.0666666666667,2,16,15,15,-,-,1,-,16,10,6,16,10,6,-,-,-,"2021-12-02 09:06","2021-12-10 11:45","Доплер Антон"
02.12.21-3.5,Ангар-гараж,"Московская область, Сергиево-Посадский р-н, г.п. Хотьково, с. Абрамцево, ул. Музейная, д. 1. ",Эксплуатационные,2021-12-02,"Рязанов А.В., Доплер А.Э., Еселевский И.А.","Федеральное государственное бюджетное учреждение культуры «Государственный  историко-художественный и литературный Музей-заповедник «Абрамцево» ","Новая - Удовлетворительно",2.1451612903226,9,79,51,44,-,-,1,-,10408,156,10252,133,120,13,3413.48,0.48,3413,"2021-12-02 12:40","2021-12-15 10:48","Доплер Антон"
06.12.21-3.6,"Пололкин дом","Московская область, Сергиево-Посадский р-н, г.п. Хотьково, с. Абрамцево, ул. Музейная, д. 1. ",Эксплуатационные,2021-12-06,"Рязанов А.В., Доплер А.Э., Еселевский И.А.","Федеральное государственное бюджетное учреждение культуры «Государственный  историко-художественный и литературный Музей-заповедник «Абрамцево» ","Новая - Удовлетворительно",1.2631578947368,8,44,20,20,-,-,1,-,1407,33,1374,48,33,15,226.5,-,226.5,"2021-12-06 07:15","2021-12-10 11:50","Доплер Антон"
